Mes,Dia,Anio,Tmin,Tmax,Tavg
10,14,1930,20.1,24.25,28.4
10,15,1930,20,23.2,26.4
10,16,1930,20,23.15,26.3
10,17,1930,18.1,22.65,27.2
10,18,1930,15.2,22.6,30
10,19,1930,13.3,17.35,21.4
10,20,1930,14.2,16.8,19.4
10,21,1930,15.3,17.7,20.1
10,22,1930,16.3,19.3,22.3
10,23,1930,13.4,19.25,25.1
10,24,1930,13.2,17.65,22.1
10,25,1930,12.4,16.8,21.2
10,26,1930,13,20.65,28.3
10,27,1930,16.2,20.6,25
10,28,1930,14.1,16.55,19
10,29,1930,11.2,15.2,19.2
10,30,1930,8.2,11.6,15
10,31,1930,8.1,12.55,17
11,1,1930,11,15.2,19.4
11,2,1930,12,15.05,18.1
11,3,1930,14,15.65,17.3
11,4,1930,13.1,15.6,18.1
11,5,1930,11.4,17.85,24.3
11,6,1930,10.3,16.2,22.1
11,7,1930,15,15.2,15.4
11,8,1930,14,15,16
11,9,1930,11.1,12.65,14.2
11,10,1930,11.3,13.85,16.4
11,11,1930,12.2,14.7,17.2
11,12,1930,14,16.2,18.4
11,13,1930,13,16.05,19.1
11,14,1930,14.2,17.3,20.4
11,15,1930,15.4,16.85,18.3
11,16,1930,13.1,15.2,17.3
11,17,1930,13.3,15.2,17.1
11,18,1930,12.4,14.4,16.4
11,19,1930,11.2,13.15,15.1
11,20,1930,10.1,13.75,17.4
11,21,1930,13.1,15.2,17.3
11,22,1930,12.4,15.25,18.1
11,23,1930,14.2,16.15,18.1
11,24,1930,14.2,16.3,18.4
11,25,1930,14.3,16.7,19.1
11,26,1930,15.1,17.2,19.3
11,27,1930,15.2,17.8,20.4
11,28,1930,16.1,20.6,25.1
11,29,1930,15.4,22.2,29
11,30,1930,15,16,17
12,1,1930,8.4,14.2,20
12,2,1930,7.1,13.6,20.1
12,3,1930,6.2,14.65,23.1
12,4,1930,10,15.2,20.4
12,5,1930,10,14.7,19.4
12,6,1930,9.2,13.15,17.1
12,7,1930,8.1,11.55,15
12,8,1930,7.4,10.7,14
12,9,1930,6.4,12.2,18
12,10,1930,9.3,16.25,23.2
12,11,1930,7.2,16.1,25
12,12,1930,8,17.65,27.3
12,13,1930,10,18.5,27
12,14,1930,8,17.6,27.2
12,15,1930,8.1,13.25,18.4
12,16,1930,2,8.6,15.2
12,17,1930,1.3,9.75,18.2
12,18,1930,1.3,9.3,17.3
12,19,1930,1.4,9.75,18.1
12,20,1930,2.3,10.3,18.3
12,21,1930,2.4,10.75,19.1
12,22,1930,2.3,8.8,15.3
12,23,1930,3.1,9.1,15.1
12,24,1930,3.3,9.35,15.4
12,25,1930,3.1,9.7,16.3
12,26,1930,2.4,10.35,18.3
12,27,1930,2.1,11.25,20.4
12,28,1930,3.1,11.2,19.3
12,29,1930,5.3,12.35,19.4
12,30,1930,5.1,11.6,18.1
12,31,1930,4.3,12.35,20.4
1,1,1931,12,16.05,20.1
1,2,1931,14,18.7,23.4
1,3,1931,12.3,19.65,27
1,4,1931,13.4,20.7,28
1,5,1931,8.2,16.6,25
1,6,1931,2.1,12.65,23.2
1,7,1931,2.1,13.7,25.3
1,8,1931,6.1,14.75,23.4
1,9,1931,5.2,15.15,25.1
1,10,1931,5.1,14.7,24.3
1,11,1931,3.2,14.2,25.2
1,12,1931,5.4,14.8,24.2
1,13,1931,7,14.1,21.2
1,14,1931,5,13.75,22.5
1,15,1931,6.3,14.85,23.4
1,16,1931,6.3,14.75,23.2
1,17,1931,5,13.55,22.1
1,18,1931,7.2,14.8,22.4
1,19,1931,7.3,13.85,20.4
1,20,1931,8.2,14.2,20.2
1,21,1931,8.3,15.7,23.1
1,22,1931,8.1,15.05,22
1,23,1931,12.3,17.35,22.4
1,24,1931,15.2,19.15,23.1
1,25,1931,10.4,15.4,20.4
1,26,1931,13.2,16.65,20.1
1,27,1931,12.3,15.35,18.4
1,28,1931,12,15.05,18.1
1,29,1931,12,14.6,17.2
1,30,1931,11.2,15.2,19.2
1,31,1931,12.4,15.9,19.4
2,1,1931,10,18.65,27.3
2,2,1931,11.1,19.15,27.2
2,3,1931,10.1,19.25,28.4
2,4,1931,10.3,16.7,23.1
2,5,1931,6.4,13.3,20.2
2,6,1931,6.4,13.2,20
2,7,1931,6.1,13.25,20.4
2,8,1931,5.3,12.15,19
2,9,1931,5.1,11.15,17.2
2,10,1931,5.4,11.25,17.1
2,11,1931,5.3,11.8,18.3
2,12,1931,8.2,13.15,18.1
2,13,1931,10.1,14.75,19.4
2,14,1931,10.3,16.7,23.1
2,15,1931,12.2,19.3,26.4
2,16,1931,14.3,21.85,29.4
2,17,1931,15.3,21.75,28.2
2,18,1931,10.2,16.25,22.3
2,19,1931,9,16.65,24.3
2,20,1931,6.4,15.85,25.3
2,21,1931,12.3,19.75,27.2
